speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id
0.000000,0.571230,0.076100,0.137255,0.000667,1
0.291667,0.507476,0.184700,0.188235,0.154667,3
0.300000,0.294214,0.078000,0.137255,0.068333,1
0.000000,0.682152,0.088975,0.168627,0.017333,1
0.000000,0.389908,0.070100,0.133333,0.010667,1
0.000000,1.773291,0.069600,0.133333,0.001667,2
0.000000,0.335104,0.075600,0.137255,0.007000,1
0.091667,0.331507,0.094600,0.137255,0.085667,1
0.000000,0.559601,0.074800,0.137255,0.003000,1
0.000000,0.200417,0.080500,0.141176,0.011333,1
0.000000,0.344556,0.075500,0.133333,0.003333,1
0.000000,0.335405,0.074800,0.137255,0.002333,1
0.000000,0.301521,0.076000,0.133333,0.063667,1
0.000000,1.191742,0.082175,0.164706,1.843333,2
0.450000,0.242616,0.214300,0.184314,0.024667,3
0.333333,0.245051,0.208500,0.172549,0.052333,3
0.000000,0.265708,0.069300,0.133333,0.003000,1
0.000000,0.343063,0.075100,0.133333,0.008667,1
0.000000,0.508876,0.078200,0.137255,0.022333,1
0.241667,0.300552,0.218400,0.203922,0.008333,3
0.000000,0.130250,0.098975,0.172549,0.007000,1
0.000000,1.778309,0.000000,0.176471,0.001667,2
0.000000,0.506035,0.070700,0.133333,0.151333,1
0.416667,0.306624,0.199700,0.152941,0.134000,3
0.000000,0.333575,0.070800,0.133333,0.002000,1
0.200000,0.533085,0.126800,0.176471,0.960667,3
0.241667,0.441508,0.214500,0.203922,0.059667,3
0.000000,1.889294,0.071200,0.137255,0.009000,2
0.000000,0.184573,0.000000,0.176471,0.012000,1
0.091667,0.684324,0.121100,0.152941,0.127000,1
0.000000,0.280368,0.072000,0.133333,0.002000,1
0.000000,0.631098,0.121900,0.156863,0.000333,1
0.000000,0.476064,0.075700,0.137255,0.007333,1
0.000000,0.520120,0.074300,0.141176,0.007000,1
0.000000,0.573002,0.075100,0.137255,0.001667,1
0.133333,0.662240,0.098575,0.156863,0.647667,1
0.150000,0.189017,0.081000,0.141176,0.305667,1
0.000000,0.000000,0.000000,0.176471,0.000000,1
0.000000,0.197971,0.069300,0.133333,0.222000,1
0.000000,1.793043,0.000000,0.152941,0.000333,2
0.000000,1.616915,0.093200,0.145098,3.901333,2
0.000000,0.193168,0.075200,0.141176,0.005000,1
0.025000,0.562313,0.081000,0.141176,0.230000,1
0.000000,0.220476,0.000000,0.176471,0.002333,1
0.116667,0.275981,0.102600,0.172549,0.043000,1
0.000000,1.948197,0.000000,0.176471,0.125333,2
0.000000,1.779626,0.000000,0.176471,0.002667,2
0.000000,0.472876,0.074600,0.137255,0.005333,1
0.000000,0.119278,0.000000,0.180392,0.001333,1
