Epoch,MSE
1,0.949041
2,0.477734
3,0.410836
4,0.368737
5,0.339711
6,0.319447
7,0.305197
8,0.295007
9,0.287537
10,0.281912
11,0.277556
12,0.274085
13,0.271235
14,0.268828
15,0.266741
16,0.264886
17,0.263204
18,0.261652
19,0.260199
20,0.258824
21,0.257511
22,0.256249
23,0.255029
24,0.253846
25,0.252696
26,0.251574
27,0.250479
28,0.249409
29,0.248362
30,0.247336
31,0.246332
32,0.245347
33,0.244382
34,0.243435
35,0.242507
36,0.241596
37,0.240703
38,0.239826
39,0.238966
40,0.238122
41,0.237293
42,0.236480
43,0.235682
44,0.234898
45,0.234129
46,0.233374
47,0.232633
48,0.231906
49,0.231192
50,0.230490
51,0.229802
52,0.229126
53,0.228463
54,0.227811
55,0.227171
56,0.226543
57,0.225927
58,0.225321
59,0.224726
60,0.224142
61,0.223568
62,0.223005
63,0.222452
64,0.221908
65,0.221374
66,0.220850
67,0.220335
68,0.219828
69,0.219331
70,0.218843
71,0.218362
72,0.217891
73,0.217427
74,0.216972
75,0.216524
76,0.216084
77,0.215651
78,0.215226
79,0.214808
80,0.214398
81,0.213994
82,0.213597
83,0.213207
84,0.212823
85,0.212446
86,0.212075
87,0.211710
88,0.211351
89,0.210999
90,0.210652
91,0.210311
92,0.209975
93,0.209646
94,0.209321
95,0.209002
96,0.208688
97,0.208380
98,0.208076
99,0.207777
100,0.207484
