Epoch,MSE
1,0.497824
2,0.368325
3,0.376208
4,0.428418
5,0.408714
6,0.407506
7,0.402100
8,0.394813
9,0.387468
10,0.380191
11,0.373660
12,0.367571
13,0.361871
14,0.356525
15,0.351503
16,0.346782
17,0.342342
18,0.338169
19,0.334261
20,0.330637
21,0.327343
22,0.324429
23,0.321874
24,0.319581
25,0.317448
26,0.315412
27,0.313443
28,0.311528
29,0.309669
30,0.307870
31,0.306128
32,0.304442
33,0.302813
34,0.301240
35,0.299724
36,0.298263
37,0.296859
38,0.295512
39,0.294220
40,0.292978
41,0.291784
42,0.290638
43,0.289539
44,0.288483
45,0.287470
46,0.286497
47,0.285562
48,0.284663
49,0.283800
50,0.282969
51,0.282171
52,0.281402
53,0.280662
54,0.279949
55,0.279262
56,0.278600
57,0.277961
58,0.277344
59,0.276748
60,0.276173
61,0.275616
62,0.275078
63,0.274557
64,0.274052
65,0.273563
66,0.273089
67,0.272628
68,0.272181
69,0.271747
70,0.271325
71,0.270915
72,0.270515
73,0.270126
74,0.269747
75,0.269377
76,0.269016
77,0.268664
78,0.268320
79,0.267983
80,0.267654
81,0.267333
82,0.267017
83,0.266708
84,0.266406
85,0.266109
86,0.265817
87,0.265531
88,0.265250
89,0.264974
90,0.264703
91,0.264435
92,0.264172
93,0.263914
94,0.263659
95,0.263407
96,0.263159
97,0.262915
98,0.262674
99,0.262436
100,0.262201
